time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
7280,-5.36,1.1,8.18,-0.02,0.13,-0.09
7281,-5.35,1.05,8.16,-0.05,0.1,-0.28
7282,-5.34,1.09,8.17,-0.02,0.01,-0.09
7283,-5.32,1.13,8.13,-0.05,0.04,0.01
7284,-5.34,1.11,8.14,-0.02,-0.12,-0.09
7286,-5.41,1.1,8.14,0.11,-0.09,-0.15
7287,-5.34,1.05,8.14,0.08,-0.02,0.01
7288,-5.3,1.08,8.14,-0.08,-0.09,0.01
7289,-5.4,1.07,8.15,-0.02,0.04,0.01
7290,-5.41,1.08,8.12,0.01,0.13,0.1
7291,-5.37,1.13,8.18,0.08,0.1,-0.06
7292,-5.36,1.13,8.19,0.01,0.01,0.01
7294,-5.35,1.07,8.15,0.14,-0.15,0.04
7295,-5.38,1.07,8.21,-0.02,-0.15,0.13
7296,-5.4,1.08,8.26,-0.11,0.04,-0.06
7297,-5.43,1.11,8.28,-0.2,0.1,-0.02
7298,-5.41,1.06,8.26,-0.17,0.04,0.1
7299,-5.41,1.04,8.2,0.01,-0.06,0.1
7300,-5.35,1.08,8.13,0.2,-0.09,0.07
7302,-5.3,1.05,8.19,0.01,0.04,0.01
7303,-5.35,1.04,8.18,0.05,0.1,-0.02
7304,-5.38,1.05,8.2,0.08,0.04,-0.09
7305,-5.29,1.11,8.18,0.08,0.07,-0.02
7306,-5.32,1.09,8.12,0.17,0.1,-0.06
7307,-5.36,1.04,8.07,-0.02,0.16,-0.09
7308,-5.38,1.14,8.14,-0.14,0.13,-0.09
7310,-5.39,1.13,8.15,-0.2,0.13,0.01
7311,-5.4,1.15,8.2,-0.24,0.35,0.07
7312,-5.39,1.12,8.21,-0.33,0.23,-0.12
7313,-5.3,1.12,8.22,-0.3,0.13,-0.06
7314,-5.26,1.1,8.16,0.01,0.07,-0.06
7315,-5.34,1.07,8.17,0.08,0.23,0.04
7316,-5.33,1.1,8.19,-0.17,0.29,0.07
7317,-5.35,1.09,8.21,-0.05,0.38,-0.12
7319,-5.37,1.03,8.22,-0.24,0.19,-0.02
7320,-5.35,1.07,8.09,-0.11,0.1,0.01
7321,-5.4,1.09,8.18,-0.14,0.1,0.07
7322,-5.41,1.06,8.18,0.05,0.32,0.07
7323,-5.36,1.12,8.09,0.01,0.19,-0.09
7324,-5.39,1.16,8.2,-0.11,0.07,0.04
7325,-5.44,1.12,8.16,-0.2,0.26,-0.06
7327,-5.41,1.1,8.15,-0.11,0.38,-0.09
7328,-5.36,1.1,8.17,-0.11,0.1,-0.15
7329,-5.36,1.1,8.2,-0.14,0.1,-0.21
7330,-5.41,1.05,8.17,-0.36,0.16,-0.12
7331,-5.38,1.08,8.22,-0.17,0.29,-0.06
7332,-5.41,1.1,8.17,0.08,0.13,0.01
7333,-5.38,1.04,8.08,0.26,0.23,0.01
7335,-5.39,1.07,8.27,0.05,0.16,-0.06
7336,-5.34,1.12,8.21,0.05,0.13,0.07
7337,-5.36,1.08,8.15,-0.14,0.07,0.19
7338,-5.35,1.12,8.12,-0.05,0.13,0.1
